99 = es una posición inicial; robot; coordenada x en mm; coordenada y en mm; ángulo respecto a la horizontal
99;11;555.5555555555555;730.0;999
99;4;867.7777777777778;476.6666666666667;999
99;5;1453.3333333333335;710.0;999
Desplazamientos: #imagen; robot; desplazamiento; ángulo
0;11;142.33068780610182;ángulo
1;11;47.893915693894016;ángulo
2;11;99.9876535588146;ángulo
3;11;62.19245319625124;ángulo
4;11;8.461970117626565;ángulo
5;11;35.43381937578217;ángulo
6;11;312.46135563527224;ángulo
7;11;17.24908299584447;ángulo
8;11;29.8142396999972;ángulo
9;11;11.331154474650633;ángulo
10;11;10.061539042374909;ángulo
11;11;140.74317736682175;ángulo
12;11;44.249572781644176;ángulo
13;11;164.6020265989876;ángulo
14;11;2.2222222222222223;ángulo
15;11;0.0;ángulo
16;11;0.0;ángulo
17;11;0.0;ángulo
18;11;0.0;ángulo
19;11;0.0;ángulo
20;11;67.73222512945854;ángulo
21;11;87.12131459516738;ángulo
0;4;53.34490615181246;ángulo
1;4;94.70552149937794;ángulo
2;4;20.0;ángulo
3;4;326.49655434629017;ángulo
4;4;232.95471927945118;ángulo
5;4;99.1942849807362;ángulo
6;4;130.4313830295928;ángulo
7;4;211.98940108609088;ángulo
8;4;40.44505494044733;ángulo
9;4;42.236839574996026;ángulo
10;4;46.67989230577779;ángulo
11;4;338.1229961032334;ángulo
12;4;93.65684672394008;ángulo
13;4;228.44617379371374;ángulo
14;4;120.51330544849999;ángulo
15;4;340.9807930581544;ángulo
16;4;210.30548034164113;ángulo
17;4;44.02580612479767;ángulo
18;4;25.385910352879698;ángulo
19;4;71.05900869030881;ángulo
20;4;63.60565236160761;ángulo
21;4;76.86769136190213;ángulo
0;5;402.464629225697;ángulo
1;5;94.70552149937794;ángulo
2;5;20.0;ángulo
3;5;442.05608269416854;ángulo
4;5;88.49914556328835;ángulo
5;5;99.1942849807362;ángulo
6;5;254.06570550951852;ángulo
7;5;17.24908299584447;ángulo
8;5;29.8142396999972;ángulo
9;5;11.331154474650633;ángulo
10;5;10.061539042374909;ángulo
11;5;221.02175748995984;ángulo
12;5;93.65684672394008;ángulo
13;5;387.2999284377693;ángulo
14;5;2.2222222222222223;ángulo
15;5;0.0;ángulo
16;5;0.0;ángulo
17;5;0.0;ángulo
18;5;0.0;ángulo
19;5;0.0;ángulo
20;5;67.73222512945854;ángulo
21;5;87.12131459516738;ángulo
