Robots,Duracion,Prueba,Percentil,Distancia,Peligrosidad,Cobertura,%Cobertura
1,5,1,25,599.4112549695428,10.815,71.0,12.32638888888889
1,5,1,50,660.8326112068523,11.285,145.0,25.17361111111111
1,5,1,75,571.1269837220809,10.765,196.0,34.02777777777778
1,5,1,100,735.9797974644666,12.254999999999997,227.0,39.40972222222222
1,5,2,25,772.5483399593904,13.650000000000002,136.0,23.61111111111111
1,5,2,50,777.4011537017761,12.52,209.0,36.28472222222222
1,5,2,75,779.4112549695428,14.290000000000001,240.0,41.66666666666667
1,5,2,100,962.2539674441618,19.450000000000006,262.0,45.48611111111111
1,5,3,25,747.6955262170047,11.955000000000002,122.0,21.180555555555554
1,5,3,50,1322.2539674441618,28.675,192.0,33.33333333333333
1,5,3,75,1255.3910524340095,23.990000000000002,205.0,35.59027777777778
1,5,3,100,1090.5382386916237,18.499999999999993,210.0,36.45833333333333
1,5,4,25,366.2741699796952,7.285,87.0,15.104166666666666
1,5,4,50,342.842712474619,6.469999999999999,100.0,17.36111111111111
1,5,4,75,872.5483399593904,15.999999999999998,172.0,29.86111111111111
1,5,4,100,877.4011537017761,16.880000000000003,217.0,37.67361111111111
1,5,5,25,434.5584412271571,9.235,92.0,15.972222222222221
1,5,5,50,872.5483399593904,17.555,185.0,32.11805555555556
1,5,5,75,962.2539674441618,18.419999999999995,206.0,35.76388888888889
1,5,5,100,1098.8225099390856,19.89,221.0,38.36805555555556
1,5,6,25,539.4112549695428,9.494999999999997,80.0,13.88888888888889
1,5,6,50,724.2640687119285,12.509999999999998,143.0,24.82638888888889
1,5,6,75,852.5483399593904,16.665,163.0,28.29861111111111
1,5,6,100,880.8326112068523,17.204999999999995,191.0,33.15972222222222
1,5,7,25,406.2741699796952,7.755,90.0,15.625
1,5,7,50,644.2640687119285,11.455,132.0,22.916666666666664
1,5,7,75,542.842712474619,9.485000000000001,141.0,24.479166666666664
1,5,7,100,575.9797974644666,7.845000000000001,141.0,24.479166666666664
1,5,8,25,76.5685424949238,1.24,12.0,2.083333333333333
1,5,8,50,297.9898987322333,5.875,98.0,17.01388888888889
1,5,8,75,257.9898987322333,3.615,136.0,23.61111111111111
1,5,8,100,297.9898987322333,4.385,172.0,29.86111111111111
1,5,9,25,48.2842712474619,0.365,7.0,1.215277777777778
1,5,9,50,426.2741699796952,8.255,94.0,16.319444444444446
1,5,9,75,459.4112549695428,7.735,115.0,19.96527777777778
1,5,9,100,434.5584412271571,8.34,150.0,26.041666666666668
1,5,10,25,116.5685424949238,1.94,20.0,3.4722222222222223
1,5,10,50,354.5584412271571,4.72,103.0,17.881944444444446
1,5,10,75,402.842712474619,5.8,123.0,21.354166666666664
1,5,10,100,629.1168824543142,11.130000000000003,155.0,26.90972222222222
1,5,11,25,184.8528137423857,3.125,108.0,18.75
1,5,11,50,820.8326112068523,16.794999999999998,152.0,26.38888888888889
1,5,11,75,809.1168824543142,15.165000000000003,164.0,28.47222222222222
1,5,11,100,752.5483399593904,17.595,167.0,28.993055555555557
1,5,12,25,414.5584412271571,6.915000000000002,88.0,15.277777777777779
1,5,12,50,426.2741699796952,7.225000000000001,107.0,18.57638888888889
1,5,12,75,401.4213562373095,9.065,121.0,21.006944444444446
1,5,12,100,439.4112549695428,6.355,131.0,22.743055555555554
1,5,13,25,567.6955262170047,10.504999999999999,67.0,11.631944444444445
1,5,13,50,471.1269837220809,10.0,96.0,16.666666666666664
1,5,13,75,289.7056274847714,4.585000000000001,149.0,25.868055555555557
1,5,13,100,337.9898987322333,6.9750000000000005,181.0,31.42361111111111
1,10,1,25,800.8326112068523,14.044999999999996,177.0,30.729166666666668
1,10,1,50,925.685424949238,15.365,244.0,42.36111111111111
1,10,1,75,1102.2539674441618,22.545000000000005,325.0,56.423611111111114
1,10,1,100,1210.5382386916237,24.145,383.0,66.49305555555556
1,10,2,25,1037.4011537017761,23.229999999999997,219.0,38.02083333333333
1,10,2,50,889.1168824543142,18.74,271.0,47.04861111111111
1,10,2,75,872.5483399593904,17.92,315.0,54.6875
1,10,2,100,905.685424949238,16.299999999999997,348.0,60.416666666666664
1,10,3,25,362.842712474619,5.049999999999999,121.0,21.006944444444446
1,10,3,50,860.8326112068523,14.010000000000002,207.0,35.9375
1,10,3,75,1037.4011537017761,15.569999999999999,240.0,41.66666666666667
1,10,3,100,992.5483399593904,20.249999999999996,300.0,52.083333333333336
1,10,4,25,938.8225099390856,17.029999999999998,131.0,22.743055555555554
1,10,4,50,1150.5382386916237,20.84,173.0,30.03472222222222
1,10,4,75,1002.2539674441618,16.879999999999995,203.0,35.24305555555556
1,10,4,100,990.5382386916237,18.969999999999995,207.0,35.9375
1,10,5,25,494.5584412271571,10.42,119.0,20.65972222222222
1,10,5,50,414.5584412271571,6.139999999999999,190.0,32.98611111111111
1,10,5,75,341.4213562373095,5.8100000000000005,217.0,37.67361111111111
1,10,5,100,502.842712474619,7.52,243.0,42.1875
1,10,6,25,246.27416997969522,4.1049999999999995,67.0,11.631944444444445
1,10,6,50,257.9898987322333,4.855,79.0,13.715277777777779
1,10,6,75,507.6955262170047,8.28,120.0,20.833333333333336
1,10,6,100,542.842712474619,10.34,121.0,21.006944444444446
1,10,7,25,731.1269837220809,13.795000000000002,126.0,21.875
1,10,7,50,789.1168824543142,14.275,178.0,30.90277777777778
1,10,7,75,880.8326112068523,16.235,224.0,38.88888888888889
1,10,7,100,1017.4011537017761,19.455000000000005,272.0,47.22222222222222
1,10,8,25,28.284271247461902,0.215,4.0,0.6944444444444444
1,10,8,50,209.7056274847714,3.5050000000000003,34.0,5.902777777777778
1,10,8,75,502.842712474619,7.530000000000001,167.0,28.993055555555557
1,10,8,100,940.8326112068523,19.335,263.0,45.65972222222222
1,10,9,25,667.6955262170047,13.665000000000001,119.0,20.65972222222222
1,10,9,50,1247.1067811865476,25.560000000000002,204.0,35.41666666666667
1,10,9,75,1025.685424949238,22.69000000000001,223.0,38.71527777777778
1,10,9,100,1025.685424949238,17.729999999999997,293.0,50.86805555555556
1,10,10,25,1058.8225099390856,19.589999999999993,257.0,44.61805555555556
1,10,10,50,1075.3910524340095,19.270000000000003,357.0,61.979166666666664
1,10,10,75,945.685424949238,18.879999999999995,367.0,63.71527777777778
1,10,10,100,957.4011537017761,17.660000000000004,396.0,68.75
1,10,11,25,346.2741699796952,5.010000000000001,119.0,20.65972222222222
1,10,11,50,369.7056274847714,6.290000000000001,154.0,26.73611111111111
