Robots,Duracion,Percentil,Metrica,Promedio,DesvEst,Varianza
1,5,25,Distancia,405.74625344045273,242.22818502124136,58674.49361868473
1,5,25,Peligrosidad,7.252307692307692,4.325168404902777,18.707081730769232
1,5,25,Cobertura,75.38461538461539,40.38056145708902,1630.5897435897436
1,5,25,%Cobertura,13.087606837606838,7.010514141855733,49.147308533159226
1,5,50,Distancia,626.2663997737209,286.1897942263375,81904.59831931339
1,5,50,Peligrosidad,11.795384615384615,6.420155262121281,41.218393589743584
1,5,50,Cobertura,135.07692307692307,40.0945996747308,1607.576923076923
1,5,50,%Cobertura,23.450854700854702,6.960867999085208,48.4536833006885
1,5,75,Distancia,650.5084910243065,296.78924649736996,88083.85683647661
1,5,75,Peligrosidad,11.967692307692309,6.030283511640993,36.364319230769226
1,5,75,Cobertura,163.92307692307693,38.491257748700846,1481.576923076923
1,5,75,%Cobertura,28.458867521367523,6.6825100258161205,44.65594024513297
1,5,100,Distancia,701.0325224605618,273.86201634835146,75000.40399838472
1,5,100,Peligrosidad,12.831153846153846,5.6259877480337295,31.651738141025636
1,5,100,Cobertura,186.53846153846155,38.86861498393313,1510.7692307692307
1,5,100,%Cobertura,32.385149572649574,6.748023434710611,45.5358202754036
1,10,25,Distancia,568.1141076610695,328.0352073923446,107607.09728893853
1,10,25,Peligrosidad,10.71076923076923,6.826978603963421,46.60763685897434
1,10,25,Cobertura,123.76923076923077,65.94335175759298,4348.525641025641
1,10,25,%Cobertura,21.487713675213676,11.448498569026558,131.06811948500317
1,10,50,Distancia,712.9669214034552,367.0896125662622,134754.7836540485
1,10,50,Peligrosidad,12.946153846153846,7.291108498782997,53.160263141025645
1,10,50,Cobertura,183.46153846153845,81.33635450462828,6615.602564102564
1,10,50,%Cobertura,31.850961538461537,14.120894879275742,199.39967219155585
1,10,75,Distancia,748.8794533273132,281.4009761346185,79186.5093695161
1,10,75,Peligrosidad,13.936538461538461,6.003605647378147,36.04328076923078
1,10,75,Cobertura,226.69230769230768,70.515228397116,4972.397435897436
1,10,75,%Cobertura,39.35630341880342,12.242227152277085,149.8721256479503
1,10,100,Distancia,860.3499827468758,235.68467423564962,55547.26566956428
1,10,100,Peligrosidad,16.23807692307692,4.8389175521931636,23.415123076923077
1,10,100,Cobertura,263.6923076923077,80.54955474259786,6488.2307692307695
1,10,100,%Cobertura,45.77991452991453,13.984297698367683,195.5605821165717
1,15,25,Distancia,642.4428899672,331.7761824587884,110075.43524692727
1,15,25,Peligrosidad,11.24,7.019510904139499,49.273533333333326
1,15,25,Cobertura,129.92307692307693,56.13593848635284,3151.24358974359
1,15,25,%Cobertura,22.556089743589745,9.7458226538807,94.98105920089425
1,15,50,Distancia,963.4644236970904,318.5642166362836,101483.16012108905
1,15,50,Peligrosidad,17.811153846153847,6.995266600187036,48.933754807692296
1,15,50,Cobertura,201.69230769230768,52.12066866957966,2716.5641025641025
1,15,50,%Cobertura,35.01602564102564,9.048727199579803,81.87946393241533
1,15,75,Distancia,1017.2012424480666,301.20221665579345,90722.77531836355
1,15,75,Peligrosidad,19.52,6.962149751812775,48.471529166666684
1,15,75,Cobertura,257.46153846153845,48.181281608482536,2321.4358974358975
1,15,75,%Cobertura,44.69818376068376,8.364805834805995,69.96997665400441
1,15,100,Distancia,1066.341435520304,247.3401172123185,61177.133582603456
1,15,100,Peligrosidad,20.445,5.368711437579785,28.823062500000002
1,15,100,Cobertura,275.84615384615387,51.791000109166575,2682.3076923076924
1,15,100,%Cobertura,47.88995726495726,8.991493074508085,80.84694770892685
2,5,25,Distancia,351.57209430876594,168.6009457050879,28426.278892649996
